11/11/2021 19:35:05.999;11/11/2021 19:35:06.999;11/11/2021 19:35:07.999;11/11/2021 19:35:08.999;11/11/2021 19:35:09.999
0.187964;0.197102;0.197144;0.197189;0.197059
0.197012;0.206175;0.206219;0.206250;0.206064
0.206063;0.214975;0.215058;0.215127;0.214981
0.214961;0.223894;0.223945;0.224030;0.223838
0.223718;0.232931;0.233046;0.233147;0.232933
0.232705;0.241978;0.242039;0.242165;0.241977
0.241692;0.251006;0.251095;0.251255;0.251062
0.250710;0.259750;0.259832;0.260073;0.259914
0.259572;0.268644;0.268712;0.268890;0.268755
0.268325;0.277585;0.277719;0.277889;0.277754
0.277303;0.286607;0.286680;0.286818;0.286678
0.286311;0.295531;0.295678;0.295758;0.295684
0.295377;0.304236;0.304351;0.304385;0.304394
0.304222;0.313035;0.313141;0.313069;0.313146
0.312979;0.321878;0.322034;0.321895;0.322084
0.321898;0.330832;0.330943;0.330716;0.330921
0.330827;0.339682;0.339793;0.339630;0.339859
0.339777;0.348332;0.348381;0.348198;0.348479
0.348487;0.357096;0.357137;0.356970;0.357205
0.357119;0.365955;0.365980;0.365813;0.366085
0.365924;0.374870;0.374813;0.374668;0.374912
0.374693;0.383651;0.383637;0.383564;0.383769
0.383557;0.392274;0.392224;0.392148;0.392373
0.392179;0.400977;0.400952;0.400888;0.401056
0.400715;0.409714;0.409703;0.409646;0.409815
0.409421;0.418532;0.418564;0.418487;0.418599
0.418211;0.427240;0.427257;0.427239;0.427371
0.427017;0.435770;0.435787;0.435756;0.435849
0.435632;0.444313;0.444367;0.444367;0.444435
0.444163;0.453013;0.453056;0.453004;0.453086
0.452802;0.461700;0.461787;0.461756;0.461770
0.461513;0.470271;0.470350;0.470346;0.470384
0.470216;0.478728;0.478824;0.478766;0.478812
0.478735;0.487145;0.487226;0.487219;0.487295
0.487136;0.495722;0.495827;0.495719;0.495846
0.495666;0.504271;0.504419;0.504336;0.504475
0.504287;0.512785;0.512906;0.512815;0.513011
0.512835;0.521181;0.521290;0.521172;0.521327
0.521251;0.529546;0.529627;0.529541;0.529673
0.529554;0.538113;0.538186;0.538067;0.538102
0.538000;0.546608;0.546696;0.546551;0.546557
0.546495;0.555151;0.555116;0.555010;0.554962
0.554959;0.563426;0.563440;0.563283;0.563200
0.563333;0.571742;0.571693;0.571510;0.571432
0.571504;0.580201;0.580162;0.579952;0.579804
0.579906;0.588540;0.588566;0.588316;0.588200
0.588272;0.596920;0.596943;0.596633;0.596555
0.596622;0.604985;0.605067;0.604806;0.604714
0.604838;0.613124;0.613190;0.612895;0.612881
0.612872;0.621376;0.621480;0.621217;0.621167
0.621076;0.629537;0.629637;0.629443;0.629481
0.629301;0.637718;0.637822;0.637640;0.637709
0.637518;0.645615;0.645783;0.645616;0.645738
0.645628;0.653588;0.653756;0.653632;0.653745
0.653540;0.661683;0.661838;0.661783;0.661891
0.661689;0.669755;0.669880;0.669886;0.669998
0.669799;0.677881;0.678014;0.678009;0.678067
0.677941;0.685647;0.685802;0.685761;0.685859
0.685908;0.693583;0.693698;0.693636;0.693675
0.693758;0.701630;0.701700;0.701675;0.701716
0.701694;0.709697;0.709672;0.709608;0.709623
0.709631;0.717725;0.717705;0.717617;0.717617
0.717648;0.725468;0.725418;0.725330;0.725303
0.725474;0.733339;0.733246;0.733093;0.733064
0.733160;0.741160;0.741086;0.740951;0.741034
0.740979;0.749090;0.748962;0.748847;0.748905
0.748817;0.756859;0.756804;0.756692;0.756761
0.756649;0.764312;0.764302;0.764240;0.764346
0.764333;0.771916;0.771900;0.771903;0.771967
0.771874;0.779545;0.779573;0.779580;0.779717
0.779494;0.787205;0.787256;0.787272;0.787405
0.787131;0.794735;0.794894;0.794919;0.795077
0.794832;0.802078;0.802311;0.802288;0.802453
0.802308;0.809501;0.809797;0.809764;0.809911
0.809671;0.816987;0.817326;0.817280;0.817434
0.817163;0.824581;0.824904;0.824791;0.824953
0.824752;0.832058;0.832382;0.832283;0.832440
0.832273;0.839355;0.839671;0.839506;0.839608
0.839671;0.846698;0.846965;0.846781;0.846912
0.846968;0.854162;0.854372;0.854168;0.854266
0.854329;0.861630;0.861784;0.861566;0.861640
0.861740;0.868964;0.869082;0.868899;0.868977
0.869125;0.876144;0.876201;0.876042;0.876073
0.876325;0.883245;0.883296;0.883198;0.883197
0.883359;0.890508;0.890518;0.890498;0.890418
0.890510;0.897714;0.897722;0.897779;0.897636
0.897684;0.904804;0.904841;0.904998;0.904794
0.904793;0.911700;0.911748;0.911974;0.911714
0.911833;0.918593;0.918666;0.918905;0.918667
0.918645;0.925676;0.925732;0.926002;0.925696
0.925652;0.932640;0.932757;0.933032;0.932778
0.932637;0.939622;0.939749;0.939927;0.939729
0.939606;0.946383;0.946546;0.946665;0.946500
0.946473;0.953082;0.953315;0.953362;0.953269
0.953139;0.960017;0.960206;0.960184;0.960155
0.959978;0.966810;0.967028;0.966969;0.966995
0.966829;0.973666;0.973854;0.973672;0.973773
0.973669;0.980200;0.980387;0.980160;0.980319
0.980362;0.986775;0.986910;0.986654;0.986892
0.986841;0.993527;0.993611;0.993340;0.993539
0.993525;1.000133;1.000168;0.999902;1.000123
1.000191;1.006769;1.006674;1.006514;1.006742
1.006866;1.013083;1.012963;1.012836;1.013085
1.013293;1.019576;1.019343;1.019204;1.019466
1.019614;1.026011;1.025771;1.025712;1.025922
1.026095;1.032448;1.032205;1.032130;1.032394
1.032486;1.038831;1.038607;1.038585;1.038853
1.038905;1.044916;1.044737;1.044734;1.045017
1.045142;1.051126;1.050951;1.050875;1.051160
1.051213;1.057321;1.057235;1.057211;1.057442
1.057438;1.063542;1.063513;1.063418;1.063656
1.063652;1.069689;1.069723;1.069623;1.069827
1.069831;1.075608;1.075641;1.075587;1.075760
1.075848;1.081574;1.081644;1.081583;1.081612
1.081715;1.087635;1.087652;1.087664;1.087644
1.087712;1.093699;1.093670;1.093696;1.093643
1.093764;1.099628;1.099615;1.099703;1.099560
1.099776;1.105412;1.105251;1.105411;1.105269
1.105587;1.111200;1.111023;1.111197;1.110981
1.111318;1.117046;1.116828;1.117057;1.116816
1.117105;1.122884;1.122617;1.122879;1.122588
1.122897;1.128619;1.128366;1.128633;1.128370
1.128688;1.134216;1.133887;1.134136;1.133926
1.134235;1.139759;1.139438;1.139704;1.139456
1.139649;1.145337;1.145048;1.145350;1.145134
1.145173;1.150951;1.150686;1.150906;1.150749
1.150688;1.156406;1.156241;1.156424;1.156304
1.156160;1.161702;1.161550;1.161710;1.161603
1.161480;1.166967;1.166828;1.167009;1.166934
1.166674;1.172311;1.172236;1.172382;1.172355
1.172006;1.177604;1.177608;1.177723;1.177652
1.177354;1.182866;1.182863;1.182972;1.182890
1.182647;1.187881;1.187938;1.188058;1.187917
1.187810;1.192890;1.192995;1.193120;1.193008
1.192858;1.198032;1.198150;1.198257;1.198100
1.197977;1.203128;1.203277;1.203401;1.203213
1.203109;1.208185;1.208297;1.208423;1.208208
1.208204;1.213013;1.213124;1.213301;1.213059
1.213180;1.217878;1.217936;1.218138;1.217886
1.217967;1.222872;1.222845;1.223071;1.222835
1.222922;1.227753;1.227704;1.227883;1.227729
1.227781;1.232640;1.232501;1.232671;1.232510
1.232649;1.237249;1.237115;1.237230;1.237059
1.237351;1.241903;1.241728;1.241808;1.241686
1.241835;1.246586;1.246401;1.246421;1.246343
1.246501;1.251147;1.251044;1.251012;1.250980
1.251092;1.255723;1.255641;1.255599;1.255560
1.255640;1.259965;1.259991;1.259904;1.259882
1.260045;1.264260;1.264372;1.264238;1.264261
1.264248;1.268650;1.268829;1.268685;1.268709
1.268625;1.272973;1.273123;1.273066;1.273048
1.272922;1.277273;1.277447;1.277390;1.277376
1.277308;1.281350;1.281501;1.281502;1.281459
1.281477;1.285490;1.285534;1.285642;1.285574
1.285505;1.289628;1.289675;1.289815;1.289723
1.289666;1.293771;1.293743;1.293912;1.293796
1.293808;1.297903;1.297804;1.298007;1.297836
1.297925;1.301709;1.301616;1.301838;1.301680
1.301883;1.305605;1.305496;1.305650;1.305448
1.305723;1.309534;1.309441;1.309612;1.309404
1.309645;1.313415;1.313286;1.313512;1.313215
1.313486;1.317207;1.317111;1.317315;1.317039
1.317378;1.320747;1.320690;1.320909;1.320610
1.321045;1.324350;1.324301;1.324550;1.324248
1.324558;1.327955;1.327881;1.328223;1.327890
1.328151;1.331589;1.331491;1.331855;1.331506
1.331758;1.335083;1.335020;1.335428;1.335055
1.335303;1.338344;1.338260;1.338686;1.338326
1.338587;1.341612;1.341548;1.341919;1.341580
1.341798;1.344907;1.344792;1.345190;1.344904
1.345032;1.348170;1.348021;1.348388;1.348082
1.348197;1.351362;1.351175;1.351491;1.351343
1.351391;1.354350;1.354145;1.354427;1.354347
1.354406;1.357385;1.357161;1.357402;1.357390
1.357337;1.360532;1.360232;1.360484;1.360543
1.360368;1.363688;1.363326;1.363527;1.363670
1.363455;1.366721;1.366433;1.366630;1.366811
1.366545;1.369628;1.369345;1.369547;1.369641
1.369480;1.372527;1.372191;1.372467;1.372554
1.372304;1.375512;1.375198;1.375469;1.375521
1.375194;1.378405;1.378152;1.378425;1.378398
1.378103;1.381168;1.380963;1.381258;1.381177
1.380937;1.383731;1.383532;1.383903;1.383785
1.383610;1.386268;1.386089;1.386431;1.386325
1.386077;1.388838;1.388698;1.389077;1.388919
1.388659;1.391319;1.391186;1.391597;1.391397
1.391183;1.393768;1.393583;1.394013;1.393820
1.393651;1.395948;1.395781;1.396216;1.396028
1.395942;1.398158;1.397970;1.398423;1.398216
1.398101;1.400476;1.400238;1.400646;1.400429
1.400332;1.402684;1.402438;1.402854;1.402649
1.402581;1.404883;1.404594;1.404946;1.404777
1.404755;1.406820;1.406617;1.406820;1.406755
1.406851;1.408833;1.408620;1.408734;1.408721
1.408746;1.410868;1.410747;1.410704;1.410782
1.410758;1.412835;1.412746;1.412606;1.412756
1.412735;1.414758;1.414698;1.414496;1.414710
1.414669;1.416417;1.416366;1.416154;1.416450
1.416426;1.418113;1.418105;1.417825;1.418171
1.418056;1.419903;1.419894;1.419619;1.419964
1.419780;1.421572;1.421539;1.421319;1.421660
1.421402;1.423203;1.423151;1.423050;1.423243
1.423039;1.424575;1.424506;1.424501;1.424645
1.424491;1.425964;1.425904;1.425961;1.426010
1.425829;1.427376;1.427363;1.427532;1.427482
1.427300;1.428821;1.428709;1.429001;1.428858
1.428678;1.430167;1.430061;1.430414;1.430144
1.430055;1.431254;1.431141;1.431522;1.431301
1.431227;1.432395;1.432283;1.432637;1.432387
1.432328;1.433558;1.433475;1.433928;1.433625
1.433523;1.434681;1.434621;1.435020;1.434729
1.434640;1.435759;1.435699;1.436071;1.435820
1.435742;1.436589;1.436530;1.436799;1.436696
1.436659;1.437438;1.437433;1.437597;1.437532
1.437438;1.438318;1.438311;1.438465;1.438478
1.438291;1.439195;1.439185;1.439252;1.439247
1.439109;1.439952;1.439979;1.440010;1.440066
1.439930;1.440562;1.440489;1.440461;1.440628
1.440547;1.441119;1.441097;1.441027;1.441227
1.441070;1.441752;1.441727;1.441625;1.441917
1.441659;1.442285;1.442254;1.442175;1.442423
1.442204;1.442753;1.442766;1.442665;1.442969
1.442766;1.443032;1.443000;1.442944;1.443166
1.443135;1.443338;1.443347;1.443279;1.443462
1.443385;1.443636;1.443641;1.443622;1.443743
1.443678;1.443896;1.443901;1.443903;1.443975
1.443986;1.444092;1.444107;1.444144;1.444185
1.444150;1.444106;1.444092;1.444122;1.444125
1.444217;1.444061;1.444125;1.444145;1.444151
1.444101;1.444122;1.444132;1.444149;1.444163
1.444058;1.444114;1.444144;1.444162;1.444160
1.443976;1.444010;1.444016;1.444060;1.444126
1.443837;1.443754;1.443746;1.443750;1.443887
1.443552;1.443424;1.443454;1.443456;1.443670
1.443175;1.443202;1.443201;1.443176;1.443430
1.442882;1.442914;1.442878;1.442916;1.443186
1.442589;1.442541;1.442497;1.442521;1.442854
1.442244;1.441966;1.441965;1.441973;1.442318
1.441764;1.441463;1.441398;1.441426;1.441737
1.441165;1.440957;1.440949;1.440945;1.441201
1.440670;1.440372;1.440393;1.440359;1.440566
1.440095;1.439795;1.439804;1.439714;1.439869
1.439469;1.438941;1.438998;1.438885;1.438978
1.438789;1.438144;1.438166;1.438005;1.438094
1.437852;1.437339;1.437392;1.437229;1.437228
1.437092;1.436434;1.436496;1.436316;1.436330
1.436243;1.435531;1.435571;1.435330;1.435372
1.435337;1.434348;1.434420;1.434200;1.434262
1.434307;1.433195;1.433266;1.433078;1.433088
1.433101;1.432076;1.432115;1.432031;1.432021
1.432016;1.430870;1.430898;1.430809;1.430877
1.430869;1.429579;1.429684;1.429580;1.429690
1.429672;1.428125;1.428224;1.428175;1.428306
1.428267;1.426733;1.426783;1.426783;1.426868
1.426786;1.425352;1.425422;1.425461;1.425525
1.425476;1.423827;1.423924;1.423959;1.424012
1.424004;1.422348;1.422455;1.422514;1.422558
1.422466;1.420587;1.420709;1.420821;1.420832
1.420832;1.418948;1.419042;1.419096;1.419117
1.419065;1.417277;1.417388;1.417465;1.417520
1.417421;1.415567;1.415634;1.415685;1.415737
1.415685;1.413783;1.413879;1.413954;1.413974
1.413898;1.411843;1.411884;1.411989;1.411998
1.412019;1.409905;1.409929;1.410033;1.409990
1.409942;1.408011;1.407993;1.408132;1.408083
1.408032;1.406009;1.405993;1.406107;1.406047
1.406032;1.404006;1.403978;1.404045;1.404005
1.403934;1.401695;1.401718;1.401744;1.401753
1.401745;1.399481;1.399491;1.399490;1.399488
1.399471;1.397278;1.397301;1.397266;1.397271
1.397228;1.395006;1.395047;1.394953;1.394966
1.394937;1.392655;1.392692;1.392604;1.392655
1.392592;1.390094;1.390154;1.390052;1.390110
1.390117;1.387593;1.387649;1.387559;1.387590
1.387553;1.385071;1.385078;1.385059;1.385093
1.385088;1.382527;1.382523;1.382481;1.382498
1.382535;1.379936;1.379861;1.379861;1.379908
1.379907;1.377087;1.377039;1.377016;1.377052
1.377249;1.374332;1.374226;1.374183;1.374240
1.374389;1.371620;1.371413;1.371394;1.371461
1.371604;1.368821;1.368572;1.368545;1.368574
1.368791;1.365910;1.365623;1.365594;1.365682
1.365852;1.362838;1.362536;1.362468;1.362534
1.362784;1.359720;1.359415;1.359346;1.359464
1.359556;1.356635;1.356313;1.356212;1.356320
1.356353;1.353405;1.353121;1.352984;1.353148
1.353134;1.350158;1.349884;1.349764;1.349890
1.349833;1.346742;1.346499;1.346391;1.346534
1.346493;1.343344;1.343169;1.343027;1.343180
1.343063;1.340053;1.339959;1.339786;1.339897
1.339786;1.336663;1.336616;1.336505;1.336596
1.336510;1.333297;1.333300;1.333184;1.333212
1.333202;1.329746;1.329858;1.329764;1.329770
1.329818;1.326239;1.326362;1.326306;1.326251
1.326303;1.322814;1.322947;1.322907;1.322778
1.322862;1.319211;1.319369;1.319344;1.319230
1.319317;1.315647;1.315746;1.315712;1.315598
1.315671;1.311810;1.311905;1.311842;1.311790
1.311955;1.308019;1.308050;1.307985;1.307914
1.308017;1.304270;1.304231;1.304142;1.304085
1.304168;1.300340;1.300262;1.300161;1.300173
1.300218;1.296463;1.296284;1.296177;1.296175
1.296226;1.292307;1.292077;1.291996;1.292015
1.292162;1.288227;1.287923;1.287875;1.287850
1.287960;1.284102;1.283842;1.283790;1.283768
1.283864;1.279911;1.279639;1.279649;1.279569
1.279662;1.275702;1.275501;1.275549;1.275399
1.275481;1.271245;1.271079;1.271160;1.271020
1.271161;1.266929;1.266727;1.266857;1.266638
1.266755;1.262559;1.262463;1.262619;1.262417
1.262462;1.258138;1.258171;1.258203;1.258004
1.258013;1.253694;1.253791;1.253816;1.253556
1.253631;1.249042;1.249180;1.249181;1.248944
1.249113;1.244477;1.244601;1.244566;1.244340
1.244440;1.239872;1.239992;1.239989;1.239769
1.239842;1.235238;1.235385;1.235284;1.235090
1.235154;1.230541;1.230717;1.230587;1.230446
1.230466;1.225657;1.225804;1.225673;1.225590
1.225642;1.220815;1.220943;1.220838;1.220746
1.220744;1.216013;1.216108;1.216010;1.215980
1.215887;1.211078;1.211202;1.211073;1.211097
1.210988;1.206007;1.206263;1.206177;1.206176
1.206107;1.200913;1.201133;1.201041;1.201067
1.201041;1.195858;1.196015;1.196005;1.196009
1.195925;1.190825;1.190896;1.190928;1.190925
1.190891;1.185665;1.185774;1.185833;1.185782
1.185776;1.180404;1.180583;1.180699;1.180606
1.180606;1.175101;1.175238;1.175364;1.175244
1.175370;1.169862;1.169890;1.170108;1.169896
1.170034;1.164678;1.164616;1.164800;1.164597
1.164724;1.159341;1.159234;1.159461;1.159225
1.159397;1.153941;1.153833;1.154040;1.153799
1.154013;1.148398;1.148294;1.148485;1.148275
1.148541;1.142879;1.142744;1.142937;1.142762
1.142930;1.137427;1.137226;1.137377;1.137229
1.137416;1.131805;1.131639;1.131814;1.131659
1.131830;1.126163;1.126019;1.126163;1.126022
1.126221;1.120331;1.120239;1.120392;1.120278
1.120508;1.114531;1.114465;1.114634;1.114538
1.114661;1.108795;1.108782;1.108927;1.108850
1.108896;1.102918;1.102976;1.103135;1.103028
1.103107;1.097068;1.097171;1.097255;1.097207
1.097230;1.091053;1.091235;1.091278;1.091278
1.091276;1.085079;1.085294;1.085281;1.085316
1.085178;1.079129;1.079377;1.079348;1.079371
1.079215;1.073089;1.073319;1.073294;1.073331
1.073170;1.067109;1.067295;1.067233;1.067295
1.067104;1.060872;1.061031;1.060988;1.061075
1.060932;1.054758;1.054817;1.054797;1.054831
1.054623;1.048607;1.048687;1.048687;1.048647
1.048479;1.042354;1.042361;1.042417;1.042360
1.042243;1.036109;1.036104;1.036193;1.036055
1.035978;1.029607;1.029623;1.029780;1.029599
1.029609;1.023256;1.023229;1.023400;1.023154
1.023159;1.016839;1.016870;1.017050;1.016762
1.016853;1.010356;1.010411;1.010622;1.010278
1.010467;1.003841;1.004035;1.004190;1.003852
1.004016;0.997170;0.997413;0.997548;0.997226
0.997535;0.990570;0.990901;0.990967;0.990641
0.990884;0.983976;0.984391;0.984396;0.984107
0.984341;0.977335;0.977732;0.977746;0.977491
0.977688;0.970656;0.971098;0.971043;0.970867
0.971020;0.963830;0.964245;0.964229;0.964054
0.964230;0.957125;0.957497;0.957564;0.957297
0.957330;0.950366;0.950695;0.950743;0.950583
0.950518;0.943574;0.943816;0.943860;0.943772
0.943685;0.936768;0.936954;0.937020;0.936919
0.936773;0.929768;0.929912;0.929974;0.929903
0.929844;0.922848;0.922971;0.923040;0.922886
0.922855;0.915915;0.916015;0.916077;0.915946
0.915933;0.908934;0.909040;0.909008;0.908855
0.908983;0.901870;0.901992;0.901910;0.901797
0.901996;0.894703;0.894835;0.894697;0.894594
0.894899;0.887547;0.887724;0.887542;0.887406
0.887703;0.880398;0.880582;0.880378;0.880233
0.880637;0.873230;0.873365;0.873157;0.873020
0.873444;0.865959;0.866154;0.865933;0.865824
0.866194;0.858604;0.858777;0.858531;0.858437
0.858850;0.851270;0.851412;0.851225;0.851119
0.851437;0.844012;0.844086;0.843943;0.843848
0.844103;0.836623;0.836717;0.836552;0.836440
0.836698;0.829208;0.829294;0.829155;0.829096
0.829290;0.821731;0.821788;0.821688;0.821623
0.821775;0.814215;0.814292;0.814209;0.814188
0.814236;0.806769;0.806819;0.806732;0.806807
0.806832;0.799210;0.799283;0.799245;0.799295
0.799333;0.791667;0.791737;0.791725;0.791798
0.791805;0.783951;0.784047;0.784062;0.784169
0.784203;0.776294;0.776350;0.776435;0.776557
0.776459;0.768722;0.768770;0.768864;0.768938
0.768842;0.761012;0.761012;0.761160;0.761188
0.761181;0.753347;0.753317;0.753462;0.753466
0.753461;0.745525;0.745481;0.745678;0.745612
0.745602;0.737754;0.737672;0.737846;0.737811
0.737741;0.730002;0.729911;0.730073;0.730006
0.730017;0.722163;0.722049;0.722179;0.722111
0.722128;0.714388;0.714242;0.714334;0.714284
0.714231;0.706396;0.706280;0.706363;0.706282
0.706316;0.698507;0.698419;0.698445;0.698328
0.698339;0.690657;0.690534;0.690535;0.690464
0.690471;0.682666;0.682539;0.682571;0.682511
0.682503;0.674750;0.674552;0.674621;0.674585
0.674522;0.666654;0.666430;0.666564;0.666486
0.666468;0.658621;0.658411;0.658578;0.658487
0.658331;0.650563;0.650321;0.650524;0.650489
0.650337;0.642433;0.642164;0.642499;0.642428
0.642300;0.634282;0.634022;0.634472;0.634356
0.634162;0.625951;0.625750;0.626256;0.626150
0.626028;0.617776;0.617545;0.618072;0.617950
0.617764;0.609536;0.609347;0.609974;0.609813
0.609592;0.601265;0.601115;0.601709;0.601556
0.601410;0.592991;0.592902;0.593474;0.593264
0.593153;0.584620;0.584553;0.585098;0.584875
0.584853;0.576328;0.576308;0.576744;0.576512
0.576460;0.568085;0.568066;0.568427;0.568172
0.568190;0.559818;0.559759;0.560033;0.559748
0.559863;0.551490;0.551500;0.551648;0.551364
0.551497;0.543044;0.543046;0.543140;0.542836
0.543096;0.534647;0.534695;0.534669;0.534375
0.534627;0.526283;0.526333;0.526251;0.526006
0.526260;0.517839;0.517871;0.517787;0.517570
0.517794;0.509348;0.509410;0.509297;0.509138
0.509362;0.500808;0.500844;0.500714;0.500598
0.500835;0.492262;0.492309;0.492160;0.492100
0.492209;0.483763;0.483780;0.483671;0.483652
0.483739;0.475179;0.475177;0.475138;0.475091
0.475156;0.466604;0.466560;0.466678;0.466571
0.466560;0.457945;0.457842;0.458053;0.457923
0.457962;0.449321;0.449170;0.449466;0.449313
0.449275;0.440804;0.440563;0.440981;0.440805
0.440701;0.432160;0.431916;0.432390;0.432147
0.432059;0.423533;0.423290;0.423825;0.423517
0.423464;0.414784;0.414529;0.415061;0.414829
0.414759;0.406113;0.405841;0.406380;0.406089
0.405998;0.397487;0.397170;0.397737;0.397485
0.397385;0.388747;0.388472;0.389004;0.388733
0.388608;0.380086;0.379797;0.380322;0.380056
0.379943;0.371236;0.370983;0.371474;0.371213
0.371159;0.362477;0.362247;0.362694;0.362419
0.362344;0.353793;0.353537;0.353948;0.353706
0.353661;0.344970;0.344698;0.345144;0.344837
0.344867;0.336182;0.335972;0.336403;0.336077
0.336137;0.327290;0.327108;0.327489;0.327147
0.327312;0.318470;0.318305;0.318687;0.318316
0.318469;0.309651;0.309488;0.309862;0.309488
0.309596;0.300771;0.300646;0.300996;0.300595
0.300760;0.291910;0.291795;0.292144;0.291780
0.291855;0.282894;0.282834;0.283153;0.282807
0.282884;0.274014;0.273950;0.274258;0.273950
0.273927;0.265093;0.265076;0.265359;0.265093
0.265024;0.256196;0.256160;0.256401;0.256183
0.256124;0.247288;0.247226;0.247463;0.247288
0.247229;0.238272;0.238227;0.238409;0.238253
0.238231;0.229350;0.229325;0.229456;0.229369
0.229263;0.220418;0.220419;0.220480;0.220431
0.220343;0.211439;0.211476;0.211527;0.211447
0.211418;0.202435;0.202516;0.202525;0.202490
0.202432;0.193388;0.193437;0.193455;0.193417
0.193424;0.184356;0.184443;0.184457;0.184442
0.184336;0.175399;0.175525;0.175492;0.175449
0.175349;0.166343;0.166487;0.166483;0.166408
0.166367;0.157318;0.157452;0.157430;0.157380
0.157286;0.148231;0.148383;0.148352;0.148319
0.148281;0.139241;0.139338;0.139319;0.139263
0.139160;0.130290;0.130367;0.130353;0.130248
0.130194;0.121279;0.121347;0.121322;0.121225
0.121230;0.112288;0.112333;0.112282;0.112206
0.112175;0.103188;0.103239;0.103219;0.103127
0.103211;0.094177;0.094224;0.094197;0.094121
0.094128;0.085219;0.085241;0.085242;0.085131
0.085174;0.076149;0.076145;0.076194;0.076110
0.076131;0.067098;0.067146;0.067126;0.067095
0.067124;0.057914;0.057951;0.057980;0.058044
0.058062;0.048823;0.048820;0.048839;0.048913
0.048815;0.039722;0.039713;0.039754;0.039815
0.039815;0.030471;0.030504;0.030515;0.030682
0.030619;0.021336;0.021406;0.021389;0.021551
0.021468;0.012054;0.012162;0.012124;0.012367
0.012296;0.002928;0.003053;0.002987;0.003181
0.003006;-0.006101;-0.005941;-0.006018;-0.005825
-0.006012;-0.015165;-0.014989;-0.015162;-0.014936
-0.015125;-0.024128;-0.023993;-0.024143;-0.023952
-0.024120;-0.033169;-0.033040;-0.033209;-0.033023
-0.033196;-0.042151;-0.042013;-0.042214;-0.042049
-0.042262;-0.051119;-0.051010;-0.051135;-0.050946
-0.051155;-0.060076;-0.060012;-0.060176;-0.059953
-0.060189;-0.069016;-0.068944;-0.069064;-0.068921
-0.069101;-0.078083;-0.078089;-0.078167;-0.078015
-0.078132;-0.087076;-0.087087;-0.087163;-0.087068
-0.087218;-0.096133;-0.096056;-0.096076;-0.095987
-0.096154;-0.105251;-0.105095;-0.105159;-0.105079
-0.105196;-0.114303;-0.114120;-0.114141;-0.114106
-0.114168;-0.123497;-0.123212;-0.123245;-0.123276
-0.123234;-0.132532;-0.132256;-0.132265;-0.132328
-0.132279;-0.141551;-0.141261;-0.141308;-0.141338
-0.141292;-0.150652;-0.150242;-0.150342;-0.150446
-0.150284;-0.159640;-0.159270;-0.159303;-0.159447
-0.159242;-0.168731;-0.168345;-0.168461;-0.168650
-0.168302;-0.177699;-0.177338;-0.177431;-0.177637
-0.177282;-0.186592;-0.186284;-0.186416;-0.186604
